call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters
AD7L,1030,1B1B,78,5,NA,OR,1,NA,1
AD7MC,58,1E,4,2,NA,WWA,1,NA,1
AD7T,298,1E,74,2,NA,WWA,1,NA,1
AD7XV,278,1E,58,2,NA,WWA,2,NA,1
AD9L,1114,2A,90,2,W9GRS,IL,18,NA,2
AE4VQ,100,1E,5,5,NA,KY,1,NA,1
AE5EE,1200,2F,28,5,NA,AR,10,NA,2
AE5KJ,234,1C,42,2,NA,STX,1,NA,1
AE5TF,612,1D,241,2,NA,AR,19,NA,1
AE5XB,158,1E,29,2,NA,NTX,1,NA,1
AE6C,4478,1A,997,2,NA,SV,3,Neurosa Gopher Munchers,1
AE6N,750,1B1B,45,5,NA,AZ,1,NA,1
AE6NN,202,3D,17,2,NA,LAX,3,NA,3
AE6SF,56,1D,3,2,NA,SF,1,NA,1
AE6ZV,2134,2A,655,2,KI6QDH,SB,11,Beach Boys ARC,2
AE7HS,496,1B1B,73,2,NA,ID,1,NA,1
AF2A,1342,3AC,349,2,NA,WNY,6,Tompkins Co ARC,3
AF2C,2474,5F,402,2,NA,NFL,37,NA,5
AF4I,1844,2A,481,2,NA,AL,20,NA,2
AF4O,315,1B1B,28,5,NA,TN,1,NA,1
AF4OX,3520,1E,331,5,NA,SC,1,NA,1
AF5Q,926,1C,106,2,NA,OK,1,NA,1
AF6IF,336,1D,81,2,NA,SCV,1,NA,1
AF6NV,856,3A,53,2,NA,ORG,8,Redlands Amateurs,3
AF6VG,60,1D,5,2,NA,LAX,1,NA,1
AG3BI,280,1B1B,15,2,NA,MDC,1,NA,1
AG4F,2464,3A,511,2,NA,GA,3,Senoia ARC,3
AG4V,1115,1E,1015,1,NA,TN,2,NA,1
AG6AN,242,1D,86,2,NA,LAX,1,NA,1
AG6AU,2784,9A,902,2,NA,SV,30,El Dorado Cty ARC,9
AG6DI,182,1D,33,2,NA,LAX,1,NA,1
AG6EP,370,1D,129,2,NA,SV,3,NA,1
AG6V,58,1D,2,2,NA,SF,1,NA,1
AH6JD,290,1B1B,20,2,NA,PAC,1,NA,1
AH6RR,240,1D,61,2,NA,PAC,1,NA,1
AH6V,790,1B1B,59,5,NA,PAC,1,NA,1
AI2T,1010,1B2B,71,5,NA,WNY,2,NA,1
AI3G,60,1D,15,2,NA,DE,1,NA,1
AI4BJ,600,1B1C,139,2,NA,KY,1,NA,1
AI4RA,632,1E,133,2,NA,AL,1,NA,1
AI5M,4962,1A,1263,2,NA,STX,25,Sam Houston AR Klub,1
AI6K,310,1B1B,130,2,NA,SJV,1,NA,1
AJ4EY,404,1E,65,2,NA,VA,2,NA,1
AJ4HK,46,1D,23,2,NA,NC,1,NA,1
AJ4MJ,154,1E,37,2,NA,NC,1,NA,1
AJ4UX,158,2D,54,2,NA,NC,2,NA,2
AK4BH,590,1B1B,70,5,NA,SC,1,NA,1
AK6D,426,1D,188,2,NA,ORG,2,NA,1
AK7O,258,1D,52,2,NA,UT,1,NA,1
AK9D,6154,4A,1702,2,WGØTA,MO,27,Dog Hollow Contest Group,4
AL9A,1244,1E,252,2,NA,AK,1,NA,1
CO6CBF,535,1E,15,5,NA,DX,1,NA,1
K1A,6734,3A,1810,2,W1EXP,EMA,24,Barnstable ARC,3
K1AA,4128,6A,788,2,NA,NFL,31,Orlando ARC,6
K1AU,612,2A,64,2,NA,EMA,9,Nantucket ARA,2
K1AVR,1572,2A,291,2,NA,NH,5,Androscoggin Valley RC,2
K1BCI,2156,3F,362,2,NA,CT,28,NA,3
K1BKE,10922,4A,4016,2,K1DFQ,NH,60,Contoocook Valley RC,4
K1DFS,1456,3A,348,2,NA,CT,16,Insurance City Repeater Club,3
K1DFT (+KA1RM),3105,1B2B,307,5,NA,ME,2,Mainiacs,1
K1DW,3470,1E,1063,2,NA,LA,2,NA,1
K1EEE,5690,2E,587,5,NA,NH,3,NA,2
K1EME,2108,2A,413,2,N1ALL,NH,45,Littleton Area Radio Klub,2
K1EOS,1038,2E,203,2,NA,CT,11,The 807's Group,2
K1EP,290,1B1B,24,5,NA,ME,1,NA,1
K1FS,1542,3A,434,2,NA,ME,32,Aroostook ARA,3
K1GAH,200,1C,25,2,NA,MDC,1,NA,1
K1JW,116,1E,33,2,NA,ME,1,NA,1
K1KO,336,1D,84,2,NA,VA,1,NA,1
K1LT,4358,1A,1058,2,NA,OH,5,FAULT,1
K1MK,4078,2E,940,2,NA,WMA,2,NA,2
K1MUJ,5440,3A,1604,2,KZ1M,CT,20,Eastern Connecticut ARA,3
K1OS,1314,2A,357,2,NA,RI,6,"Ocean State ARG, Inc.",2
K1PDY,1660,1B1B,131,5,NA,NH,1,NA,1
K1PQ,1336,2F,102,2,WA1JMM,ME,14,NA,2
K1Q,334,1A,89,2,NA,NH,12,Weare Field Day 2011,1
K1R,18850,5A,6112,2,W1WQM,NH,50,Port City ARC,5
K1RK,11430,2A,3330,2,W1HQH,EMA,45,Falmouth ARA,2
K1SV,5782,3A,2012,2,WT1B,VT,20,Southern VT ARC,3
K1TN,2872,1E,687,2,NA,WI,1,NA,1
K1XI,4692,2A,1815,2,NA,ME,34,Kennebec Co Em Response Team,2
K2AA,13120,6A,4076,2,W2EA,SNJ,46,South Jersey Radio Assn,6
K2AE,4422,5A,869,2,KR1CKM,ENY,30,Schenectady ARA,5
K2AOQ,1752,2A,413,2,NA,WNY,13,435 Hammers,2
K2BAR,7300,4F,2282,2,KC2ZMA,NNJ,43,NA,4
K2BNL,924,2A,217,2,NA,NLI,10,Brookhavn National Laboratory ARC,2
K2BR,5834,5F,1360,2,AC2NJ,SNJ,27,NA,5
K2CT,9592,3A,2961,2,KM2O,ENY,53,Albany ARA,3
K2DLL,4344,3A,1522,2,W2BEW,ENY,20,"Saratoga Cty Races Assn, Inc.",3
K2EC,2680,2A,1045,2,K2DQ,NLI,18,Bonac ARC,2
K2EFG,420,1B1,60,2,NA,ENY,1,NA,1
K2EIR,260,1E,30,2,NA,ENY,2,NA,1
K2FA,6055,3E,597,5,NA,WNY,3,NA,3
K2FEO,402,1E,126,2,NA,WNY,1,NA,1
K2FN,1002,1F,504,1,NA,NNJ,8,NA,1
K2FY,3126,3A,905,2,NA,NLI,50,Northeast Wireless RC,3
K2GE,1426,3F,286,2,NA,NNJ,24,NA,3
K2HM,554,2B2,152,2,NA,WWA,2,NA,2
K2HVE/P,240,1B1,20,2,NA,NNJ,1,NA,1
K2IQ,1374,1A,248,2,NA,WNY,12,Utica ARC,1
K2IRT,1832,3AC,534,2,NA,NLI,15,New York City Transit ARC,3
K2IWR,1238,3A,365,2,NA,WNY,25,Skyline ARC,3
K2JF,365,1AB,27,5,NA,NLI,3,NA,1
K2JJI,686,3AC,108,2,NA,NNY,16,Tryon ARC,3
K2JX,112,1D,62,1,NA,NLI,1,NA,1
K2KGJ,640,1B1B,44,5,NA,ENY,1,NA,1
K2MFW,184,1D,67,2,NA,SNJ,1,NA,1
K2MK,981,1D,468,1,NA,SNJ,1,NA,1
K2NJ,12322,2E,2993,2,NA,NNJ,4,NA,2
K2NNY,700,1B1B,65,5,NA,NNY,1,NA,1
K2NV/VE3,952,1C,213,2,NA,ON,1,NA,1
K2OAK,1010,2B2,257,2,NA,NNJ,2,NA,2
K2OGT,1422,1E,293,2,NA,EPA,1,NA,1
K2OQ,944,3F,182,2,NA,WNY,8,NA,3
K2POF,354,1B2C,101,2,NA,ENY,2,NA,1
K2PS,172,1D,58,2,NA,MDC,1,NA,1
K2PUT,3966,3A,1122,2,K2PC,ENY,20,Putnam Em Amateur Repeater League,3
K2PW,1234,2F,110,2,NA,NNJ,9,NA,2
K2QR,1020,1B2B,37,5,NA,WNY,2,NA,1
K2QS,4824,3A,1309,2,WB2LQF,ENY,106,QSY Society,3
K2RF,3480,3AC,1191,2,W2PJ,NNJ,20,Splitrock ARA,3
K2RUK,1322,2A,211,2,NA,NNY,15,Ogdensburg ARC,2
K2TD,2796,3A,614,2,AK2S,SNJ,26,Burlington Co RC,3
K2VK,416,2D,115,2,NA,NNJ,4,NA,2
K2VN,8792,4A,2546,2,NA,NLI,52,Nassau ARC,4
K2WNY,3860,1B2B,326,5,NA,WNY,2,NA,1
K2XT,3665,1E,353,5,NA,NNJ,2,NA,1
K2YG,4310,1AB,407,5,NA,NNJ,3,NA,1
K2YNT,1772,2A,386,2,W2DZ,NNJ,14,Metuchen RC,2
K2ZR,2378,1E,582,2,NA,WNY,1,NA,1
K2ZV,2228,2F,486,2,KB2LAV,NNJ,12,NA,2
K3AE,3008,4A,721,2,NA,EPA,51,So PA Communications Group,4
K3ARS,2248,6A,263,2,NA,MDC,18,Kent ARS,6
K3ATO,1336,1D,643,1,NA,EPA,1,NA,1
K3CAL,1156,3A,113,2,NA,MDC,14,Calvert ARA,3
K3CSG,4424,3A,1022,2,WX3A,EPA,45,Scranton/Pocono AR Klub,3
K3DN,6102,4A,2161,2,NA,EPA,32,Warminster ARC,4
K3DNA,1078,2A,226,2,NA,WPA,11,Juniata Valley ARC,2
K3EE,3486,5A,623,2,NA,MDC,15,GCARES,5
K3EMD,918,3A,167,2,NA,MDC,15,Easton ARS,3
K3ESS,37,1D,37,1,NA,NFL,1,NA,1
K3EYL,72,1D,11,2,NA,IL,2,NA,1
K3FI,1982,3A,462,2,NA,EPA,12,Holmesburg ARC,3
K3FLT,1822,3A,346,2,K3WJH,EPA,18,NA,3
K3FS,232,1D,91,2,NA,WPA,1,NA,1
K3HH,1650,1A,437,2,NA,MDC,3,Hanburger's Helpers ARC,1
K3HX,492,1E,98,2,NA,WPA,1,NA,1
K3IEC,1914,3AC,534,2,NA,EPA,14,Cumberland ARC,3
K3IR,1582,3A,416,2,NA,EPA,7,NA,3
K3LAB,50,1D,25,2,NA,WPA,1,NA,1
K3LGM,220,1B1B,35,2,NA,NTX,1,NA,1
K3MAF,174,1C,12,2,NA,IL,1,NA,1
K3MJW,7420,4E,2299,2,NA,WPA,14,NA,4
K3MT,744,1C,101,2,NA,VA,1,NA,1
K3NE,1212,2A,300,2,NA,WPA,10,NA,2
K3NEM,5780,3A,1474,2,W3GR,MDC,15,ARCof  the National Electronics Museum,3
K3NQT,1060,2AB,64,5,NA,WPA,9,Bedford Cty ARS,2
K3ORS,482,1E,141,2,NA,TN,1,NA,1
K3PG,2092,4A,312,2,NA,MDC,16,Queen Annes ARC,4
K3PH,7840,1E,777,5,NA,EPA,2,NA,1
K3PZN,15164,9A,4847,2,NA,MDC,20,Carroll Co ARC& Carroll Co Contesters,9
K3QBD,1848,1A,462,2,NA,DE,30,First State ARC,1
K3RLL,1050,1E,100,5,NA,WPA,1,NA,1
K3SMT,1700,6A,343,2,NA,WPA,20,Somerset Co ARC,6
K3STL,1384,1B1B,316,2,NA,WPA,1,NA,1
K3TAR,1200,2A,425,2,NA,EPA,6,TARA,2
K3TM,3902,1B1,938,2,NA,MDC,1,NA,1
K3TN,860,1D,179,2,NA,MDC,1,NA,1
K3TTK,2116,3A,654,2,NA,WPA,5,Fort Armstrong Wireless Assn,3
K3TW,950,1B1B,50,5,NA,NFL,1,NA,1
K3VIN,900,1A,350,2,NA,OH,3,NA,1
K3VTS,490,1B1B,24,5,NA,WPA,1,NA,1
K3WGR,1452,1B1B,317,2,NA,EPA,1,NA,1
K3WQ,214,1D,82,2,NA,MDC,1,NA,1
K3WW,5018,1D,1326,2,NA,EPA,1,NA,1
K3WWA,2096,3A,446,2,NA,WPA,36,Wattsburg Wireless Assn,3
K3WWP,526,1D,119,2,NA,WPA,1,NA,1
K3YTL,8650,4A,2669,2,W3MTP,EPA,30,Murgas ARC,4
K3ZMC,4072,4AC,1118,2,N3WXW,EPA,46,Pottstown Area ARC,4
K3ZX,1868,3F,391,2,NA,SC,6,NA,3
K3ZZ,3135,2B2B,453,5,NA,MDC,2,NA,2
K4ACW,2408,2A,463,2,N4MIC,GA,23,Jasper RC,2
K4AXF,2340,1E,219,5,NA,VA,1,NA,1
K4BFT,13792,4A,3990,2,N7KDT,AL,60,Huntsville ARC,4
K4BKV,2730,3A,366,2,NA,NFL,11,Hernando Co ARA,3
K4BT,3588,4A,873,2,NA,NFL,43,Orange Park ARC,4
K4BW,2056,2A,459,2,NA,VA,25,Eastern Shore ARC,2
K4CCR,220,1F,25,2,NA,NC,4,NA,1
K4CHE,1870,1B1B,152,5,NA,DE,1,NA,1
K4CPO,2570,3A,387,2,NA,TN,50,Nashville ARC,3
K4CQ,6626,2A,1716,2,W3CQ,VA,52,Lynchburg ARC,2
K4CVU,220,1E,35,2,NA,TN,1,NA,1
K4DEY,1730,3A,290,2,NA,AL,11,Lillian AR Group,3
K4DJ,874,1D,206,2,NA,NC,1,NA,1
K4DKW,1592,2A,434,2,NA,MI,3,Snoring Beagle Ranchers,2
K4EG,4622,3A,1082,2,W4VGZ,NC,25,Alamance ARC,3
K4EX,2674,2F,654,2,NA,WCF,7,NA,2
K4FC,14582,7A,4730,2,KT4Q,NFL,44,Lake ARA,7
K4FOY,560,1E,46,5,NA,VA,1,NA,1
K4FTO,538,1D,149,2,NA,VA,1,NA,1
K4GAR,888,3F,125,2,NA,GA,20,NA,3
K4GOP,142,1D,71,2,NA,NFL,1,NA,1
K4GRE,122,1E,11,2,NA,SC,1,NA,1
K4GSO,2352,5D,769,2,NA,NFL,15,NA,5
K4HH,4002,5A,776,2,NA,KY,47,Jessamine AWS,5
K4HRS,3636,2A,1056,2,K6TY,SFL,16,Harris Intersil ARC,2
K4HY,4698,2A,1032,2,NA,KY,15,Owensboro ARC,2
K4II,2152,2AC,651,2,NA,SC,32,Spartanburg ARC,2
K4IJK,130,1D,40,2,NA,RI,1,NA,1
K4J,4378,3A,1093,2,N4J,TN,23,Dickson Co ARC,3
K4JJ,10464,4A,3177,2,NF4GA,GA,269,North Fulton AR League,4
K4K,1352,2A,306,2,NA,KY,20,River Cities ARA,2
K4KNS,1980,2AC,370,2,NA,GA,10,Columbia Co ARC,2
K4KO,570,1B1B,32,5,NA,TN,1,NA,1
K4KSR,2690,1E,234,5,NA,VA,1,NA,1
K4LKL,3034,3A,568,2,K1DU,WCF,22,Lakeland ARC,3
K4LRG,16400,5A,5063,2,KJ4BRN,VA,75,Loudoun AR Group,5
K4LT,1218,1E,267,2,NA,OH,1,NA,1
K4MN,5818,2A,1427,2,K4KMI/GOTA,NC,30,Cape Fear ARS,2
K4MSU,2668,2F,609,2,W4GZ,KY,49,NA,2
K4NAB,2802,2A,676,2,NA,SC,35,North Augusta-Belvedere RC,2
K4NGA,995,1AB,179,5,NA,GA,6,North Georgia VHF Society,1
K4NVA,10054,3A,2797,2,NQ4K,VA,25,Sterling Park ARC,3
K4OGB,1184,1A,268,2,NA,NC,32,Stanly Co ARC,1
K4OO,8238,2A,2327,2,NA,NC,20,Smith Chart ARS,2
K4PAR,296,2AC,46,2,NA,GA,11,Piedmont ARES,2
K4PB,2032,1E,530,2,NA,SFL,2,NA,1
K4PJ,4304,2F,946,2,NA,TN,31,NA,2
K4PMH,2922,1A,779,2,NA,VA,14,Page Valley ARC,1
K4PP,420,1B1B,27,5,NA,AL,1,NA,1
K4QPL,5216,1E,1269,2,NA,NC,2,NA,1
K4RAN,2608,3A,750,2,NA,AL,7,Randolph Co Emergency RC,3
K4RC,6752,2A,1945,2,AJ4XV,VA,41,Williamsburg Area ARC,2
K4RDU,2580,1B2B,248,5,NA,VA,2,NA,1
K4RET,408,1A,127,2,NA,VA,3,Chiggeritaville,1
K4RFT,4958,3A,1046,2,N4MJ,TN,12,Reelfoot ARC,3
K4RUM,5730,1AB,561,5,NA,SFL,3,NA,1
K4SJH,2454,5A,604,2,W4LHS,GA,35,St.Joseph's / Candler Radio Clubs,5
K4TAK,358,2D,53,2,NA,TN,1,NA,2
K4TG,2440,2F,412,2,KY4LAW,KY,15,Anderson RC,2
K4TLH,3132,2A,765,2,NA,NFL,25,Tallahassee ARC,2
K4TN,2896,3A,598,2,NA,WCF,34,Brandon ARC,3
K4TS,10584,8A,3013,2,KK4AUW,VA,40,Rappahannock Valley ARC,8
K4US,654,5A,73,2,NA,VA,10,Mount Vernon ARC,5
K4VRC,3334,2A,717,2,N8RW,NFL,54,The Villages ARC,2
K4W,3270,4A,758,2,W4CBS,WCF,20,Highlands Co ARC,4
K4WAK,2364,2A,417,2,KI4PRX,NFL,12,Sportsman's Paradise ARC,2
K4WC,1484,2A,309,2,(none),NC,20,Cabarrus Amateur Radio Society,2
K4WD,2474,3F,541,2,NA,SC,25,NA,3
K4WO,1610,3AC,452,2,NA,NC,30,The Albemarle ARS,3
K4WOC,1576,5A,300,2,NA,GA,20,Cherokee Capital ARS,5
K4WOP,2100,1E,464,2,NA,VA,2,NA,1
K4WW,2050,1E,510,2,NA,KY,1,NA,1
K4XY,9296,4A,2719,2,K4HTA,VA,145,Vienna Wireless Soc,4
K4YM,1348,2A,273,2,NA,VA,8,Rappahannock ARA,2
K4YTZ,1022,4A,273,2,NA,SC,16,York Co ARS,4
K4ZK,1194,2A,247,2,WX4MC,SFL,50,MC ARES/MCARA,2
K5ABI,1870,2F,412,2,NA,WTX,35,NA,2
K5AXW,1975,1E,169,5,NA,STX,2,NA,1
K5BAY,1344,4F,309,2,KF5ETG,STX,18,NA,4
K5BED,1732,2A,236,2,KE5DUO,NTX,47,Bedford ARC,2
K5BS,1078,1A,162,2,NA,STX,25,Tidelands ARS,1
K5BWD,1500,2A,200,2,KF5GWK,NTX,16,Brownwood ARC,2
K5CAO,760,1B1B,71,5,NA,SV,1,NA,1
K5CM,10116,2A,2479,2,NN5Q,OK,15,NA,2
K5DF,5636,3A,1536,2,W5YW,LA,35,Daton Rouge ARC,3
K5DM,1112,1A,343,2,NA,NTX,14,Texins ARC/Richardson Wireless Klub/UTD ARC,1
K5DX,3252,1A,1091,2,NA,STX,10,Texas DX Soc,1
K5EOK,6932,3A,1797,2,KE5VOF,OK,107,Edmond ARS,3
K5EPH,1204,1F,282,2,NA,NTX,8,Athens ARC,1
K5FD,8928,2A,2613,2,AD5BB,WTX,21,Big Bend ARC,2
K5FRC,950,4F,132,2,NA,NTX,32,NA,4
K5GOE,918,1A,167,2,NA,AR,10,ARCof the Univ of AR,1
K5GVL,856,5F,180,2,NA,NTX,16,NA,5
K5HLA,1176,2F,178,2,NA,STX,22,NA,2
K5JVL,874,5AC,303,2,NA,NTX,27,Cherokee Co ARC,5
K5KJ,5544,1A,1489,2,NA,NTX,7,Murphy's Law Radio Group,1
K5LG,4494,1B1,1086,2,NA,AR,1,NA,1
K5LRK,1332,4A,426,2,NA,NTX,10,Lake Area AR Klub,4
K5M,3238,2AC,899,2,NA,WTX,3,West Texas Consortium,2
K5MDX,8018,3A,2615,2,W5NO,MS,41,Magnolia DX Assn / Great Southern DX Assn,3
K5MNY,1146,3AC,453,2,NA,LA,13,ARC of Sabine,3
K5NE,3100,1A,947,2,NA,AR,18,Benton ARS,1
K5NEA,844,2AC,197,2,NA,AR,10,Northeast AR RC,2
K5NRH,7966,4A,2079,2,W5HAU,NTX,86,North Richland Hills ARC,4
K5OA/6,1090,1B1C,260,2,NA,SDG,1,NA,1
K5OUR,2328,2A,357,2,KC5OUR,NM,91,Valencia Co ARA,2
K5PA,400,1B2C,151,2,NA,STX,2,NA,1
K5PAL,1116,3A,133,2,NA,NTX,25,Palestine/Anderson Co ARC,3
K5PLD,1004,2A,127,2,NA,STX,25,Pearland ARC,2
K5PN,2152,1A,921,2,NA,MS,25,Hattiesburg ARC,1
K5PO,1447,2D,1079,1,NA,AR,3,NA,2
K5PRK,2790,4A,706,2,WA5UP,NTX,30,Plano AR Klub,4
K5PXP,6420,3A,1405,2,N2WV,AR,25,AR River Valley AR Foundation,3
K5QHD,3016,2A,648,2,NA,NTX,27,Garland ARC,2
K5R,1636,3A,433,2,NA,NM,12,NA,3
K5RCR,938,1B1B,322,2,NA,LA,1,NA,1
K5RKW,1634,2A,317,2,NA,NTX,25,NA,2
K5RXQ,282,1B1B,39,2,NA,STX,1,NA,1
K5SAR,5128,4E,1665,2,NA,LA,15,NA,4
K5SLD,3154,3A,649,2,W5JCK,NTX,49,Arlington ARC,3
K5SS,420,1D,105,2,NA,NTX,1,NA,1
K5TRO,8876,3A,2232,2,N5QBU,NTX,29,Mills County ARC,3
K5TYR,3638,2A,1094,2,W5ETX,NTX,62,Tyler ARC,2
K5UZ,12784,2A,4179,2,KD5J,AR,15,Batesville ARC,2
K5VHH,248,1C,74,2,NA,STX,1,NA,1
K5VRC,308,1D,77,2,NA,AR,1,Van Alma RC,1
K5WA,7438,1A,1894,2,NA,STX,4,NA,1
K5WHD,1650,3A,163,2,NA,STX,17,Wild Horse Desert Hams ARC,3
K5WNH,5520,1B1B,517,5,NA,NTX,1,NA,1
K5WPH,1776,3A,356,2,NA,WTX,20,Sun City ARC,3
K5WX,4290,1B1B,404,5,NA,STX,1,NA,1
K5YQF,280,1B1B,13,5,NA,STX,1,NA,1
K5ZRO,1372,1A,536,2,NA,MS,8,Vicksburg ARC,1
K6AA,9194,4A,2941,2,NA,LAX,30,United Radio Amateur Club,4
K6AGF,2512,3A,552,2,WA6BSW,ORG,29,Tri-County ARA,3
K6AM,11134,1A,3610,2,NA,SDG,6,SPAWAR Team,1
K6BB,7458,7A,1957,2,NA,ORG,17,Big Bear ARC,7
K6BBQ,264,1C,7,2,NA,SF,1,NA,1
K6BUM,1138,2B2,419,2,NA,LAX,2,NA,2
K6CCR,2870,3F,555,2,K6RMP,LAX,55,NA,3
K6CME,1230,2F,185,2,KI6OYW,SJV,10,NA,2
K6CSL,412,1D,102,2,NA,SJV,1,NA,1
K6CU,1260,1B1B,101,5,NA,ORG,1,NA,1
K6EI,20845,7A,2252,5,W6ZZZ,SCV,25,West Valley ARA,7
K6HBC,1260,3A,276,2,NA,LAX,4,Hermosa Beach ARA,3
K6III,185,1D,90,1,NA,SV,1,NA,1
K6JP,834,3A,117,2,NA,ORG,3,Southern California Japanese Ham Club,3
K6KP,1232,2F,108,2,WA2KDX,SCV,16,NA,2
K6KQV,1384,1E,293,2,NA,SCV,1,NA,1
K6KS,768,1B1,209,2,NA,SV,1,NA,1
