call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters
AC4YD,1938,5A,519,2,NA,KY,20,Winchester Pioneer ARC,5
AC5O,516,1E,201,2,NA,LA,1,NA,1
AC6DN,536,1E,118,2,NA,SCV,1,NA,1
AC6TU,130,1D,20,2,NA,LAX,1,NA,1
AC6ZM,498,1D,133,2,NA,OH,1,NA,1
AC7A,2780,1B1B,263,5,NA,AZ,1,NA,1
AC7CJ,494,1B1,22,2,NA,EWA,1,NA,1
AC7R,538,1A,44,2,NA,AZ,4,MARA Net,1
AC7SR,260,1B2,55,2,NA,WWA,2,NA,1
AC8GS,1215,1B1B,193,5,NA,OH,1,NA,1
AC8GU,362,1D,156,2,NA,OH,1,NA,1
AC8NO,104,1D,27,2,NA,MI,1,NA,1
AC8OY,730,1B1B,63,5,NA,OH,1,NA,1
AC8PO,56,1E,3,2,NA,OH,1,NA,1
AC8RC,606,4A,57,2,NA,MI,26,Allegan Co  ARC,4
AC9FY (+NF9P),140,2B2,19,2,NA,WI,2,NA,2
ACØGP,725,1B1B,85,5,NA,MO,1,NA,1
ACØHS,956,3A,93,2,NA,IA,11,Ankeny Centennial High School ARC,3
AD1T,5958,5A,1817,2,NA,NH,25,Cheshire Cty DX ARC,5
AD4IE,160,1D,40,2,NA,NC,1,NA,1
AD5QA,305,1B1B,31,5,NA,VA,1,NA,1
AD5SR,182,1B1,41,2,NA,OK,1,NA,1
AD6IZ,1020,2A,185,2,NA,LAX,16,Crescenta Valley RC and GEARS,2
AD7AW,177,1D,127,1,NA,WWA,1,NA,1
AD7BF,334,1B1,36,2,NA,WWA,1,NA,1
AD7DD,942,1B1,78,2,NA,EWA,1,NA,1
AD7GU,84,1D,17,2,NA,SJV,1,NA,1
AD7L,338,1D,72,2,NA,OR,1,NA,1
AD7MC,390,1E,7,5,NA,WWA,1,NA,1
AD7YV,368,1E,59,2,NA,UT,4,NA,1
AD8B,236,1E,93,2,NA,OK,1,NA,1
AD8W,572,5A,99,2,NA,MI,9,St Joe Cty ARES/RACES,5
ADØBI,520,1B1B,37,5,NA,MO,1,NA,1
ADØDB,148,1D,49,2,NA,MN,2,NA,1
ADØJA,134,1D,42,2,NA,MO,1,NA,1
AE1D,230,1D,58,2,NA,NH,1,NA,1
AE2T,1110,1E,86,5,NA,WNY,1,NA,1
AE4VJ,678,1D,251,2,NA,SC,1,NA,1
AE5DD,510,1B2B,52,5,NA,NTX,2,NA,1
AE5GT,4634,1E,1121,2,NA,STX,1,NA,1
AE6C,2932,1A,608,2,NA,SV,3,Neurosa Gopher Munchers,1
AE7DW,536,1E,116,2,NA,AZ,1,NA,1
AE7WE,250,1E,100,2,NA,MS,2,NA,1
AEØG,762,1E,153,2,NA,NE,1,NA,1
AF2A,1044,3AC,305,2,NA,WNY,9,Tompkins Cty ARA,3
AF2C,2370,5F,336,2,NA,NFL,41,Flagler Em Com Assoc,5
AF4I,2020,3AC,415,2,NA,AL,35,South Baldwin ARC & Lillian ARG,3
AF4LB,700,1B1B,45,5,NA,VA,1,NA,1
AF5BZ,100,1D,100,1,NA,AR,1,NA,1
AF5FB,592,2B2,164,2,NA,NTX,2,NA,2
AF6II,878,2A,47,2,NA,ORG,8,Westminster RACES,2
AF6VN,270,1D,30,2,NA,MI,1,NA,1
AF9J,24,1D,24,1,NA,WI,1,NA,1
AG4P,786,1B1,200,2,NA,TN,1,NA,1
AG4SO,113,1E,13,1,NA,VA,1,NA,1
AG6AU,3978,7A,1036,2,NA,SV,50,NA,7
AG6JA,98,1D,24,2,NA,SCV,1,NA,1
AG6QR,285,1B1B,7,5,NA,SV,1,NA,1
AG6RB/Ø,635,1B1B,31,5,NA,MN,1,NA,1
AG6RF,138,1D,44,2,NA,EB,1,NA,1
AG6RX,246,1B1,36,2,NA,SJV,1,NA,1
AG6VH,432,2A,34,2,NA,LAX,4,Glendora Em Radio Com,2
AG6YO,60,1D,5,2,NA,SCV,1,NA,1
AG9D,2236,3A,607,2,NA,WI,10,HamVaders,3
AH6EZ/W7,209,1D,99,1,NA,WWA,1,NA,1
AH6KO,550,1B1,78,2,NA,PAC,1,NA,1
AI2T (+AC2MZ),740,1B2B,44,5,NA,WNY,2,NA,1
AI3G,122,1D,36,2,NA,DE,1,NA,1
AI5M,2318,1A,503,2,NA,STX,20,Sam Houston ARK,1
AI6II,171,1D,79,1,NA,SF,1,NA,1
AI6PG,55,1B1B,1,5,NA,SB,1,NA,1
AJ4A,7264,5A,2177,2,NA,KY,18,Central KY ARS,5
AJ4EY,380,1B1B,5,5,NA,VA,1,NA,1
AJ4IR,540,2F,195,2,NA,SFL,5,NA,2
AJ5Q,386,3D,49,2,NA,OK,11,NA,3
AK2U,648,1D,162,2,NA,WV,1,NA,1
AK3G,408,1D,179,2,NA,WPA,1,NA,1
AK3V,3312,1A,1094,2,NA,EPA,4,Berwick Contest Team,1
AK4BH,1710,1B1B,156,5,NA,SC,1,NA,1
AK4OH,472,1B1,111,2,NA,VA,1,NA,1
AK7AT,914,3E,219,2,NA,ID,3,NA,3
AK9D,1806,2A,373,2,NA,MO,5,Dog Hollow Contest Group,2
BA4TB,56,1D,3,1,NA,DX,1,NA,1
C6AGU,1250,1B1,250,2,NA,DX,1,NA,1
E51AND,2670,1E,605,2,NA,DX,1,NA,1
JA1YNE,66,1D,4,2,NA,DX,1,NA,1
JA3JM,74,1D,6,2,NA,DX,1,NA,1
JF2IWL,98,1D,24,1,NA,DX,1,NA,1
JO7KMB,239,1D,100,1,NA,DX,1,NA,1
K1A,3270,1AB,297,5,NA,ME,16,New England Radio Discussion Soc,1
K1AA,5460,12F,1249,2,W1SE,NFL,48,Orlando ARC,12
K1B,1066,6A,94,2,NA,ME,6,Radio Adventurers of ME,6
K1BG,4416,1B1,1231,2,NA,WMA,1,NA,1
K1BKE,5474,4A,1957,2,K1DFQ,NH,32,Contoocook Valley RC,4
K1CRC,1478,4A,364,2,NA,CT,15,Insurance City Rep Club,4
K1DFT,4395,1AB,410,5,NA,ME,5,New England QRP Group,1
K1ECT,760,3A,89,2,W1HEN,CT,8,Ellington CERT Team,3
K1EEE,3898,1E,1201,2,NA,NH,3,NA,1
K1EME,2470,2A,379,2,KC1BLE,NH,14,Littleton Area Radio Klub,2
K1FS,1350,3A,249,2,NA,ME,31,Aroostook ARA,3
K1GGI,1046,1C,224,2,NA,EMA,1,NA,1
K1JNX,74,1D,37,2,NA,IN,1,NA,1
K1LT,5842,1A,1423,2,NA,OH,3,Friends and Alumni Under LT,1
K1NPT,112,1E,31,2,NA,RI,1,NA,1
K1OS,818,1A,214,2,NA,RI,6,Ocean State ARG,1
K1P,4286,5A,952,2,W1OCA,ME,40,Androscoggin ARC & Oxford Cty CERT,5
K1PDY,1880,1B1B,153,5,NA,NH,1,NA,1
K1PQ,2082,2F,301,2,WA1JMM,ME,5,Piscataquis ARC,2
K1QED,42,1D,21,2,NA,WMA,1,NA,1
K1R,9964,3A,3345,2,NA,NH,25,Port City ARC,3
K1RDX,108,1D,29,2,NA,NH,1,NA,1
K1RFD,132,1E,24,2,NA,CT,1,NA,1
K1RK,8442,2A,2335,2,W1NOB,EMA,41,Falmouth ARA,2
K1SV,2866,3A,714,2,WT1B,VT,21,Southern VT ARC,3
K1SWL,1710,2B2B,116,5,NA,NH,2,NA,2
K1TKL,1212,1E,278,2,NA,SDG,1,NA,1
K1UI,6564,3A,1844,2,K1PBO,EMA,31,Barnstable ARC,3
K1WRK,924,2A,37,2,NA,NH,7,W Rockingham Cty ARES,2
K1XRN,100,1E,25,2,NA,EMA,1,NA,1
K2AA,13572,6A,4304,2,W2EA,SNJ,48,South Jersey Radio Assn,6
K2AE,2158,5A,409,2,N2WDL,ENY,25,Schenectady ARA,5
K2B/W2HRW,990,3A,137,2,NA,SNJ,25,Shore Points ARC,3
K2BAR,7218,5A,2219,2,KD2GPT,NNJ,56,Bergen ARA,5
K2BCM,770,1B1B,52,5,NA,WNY,1,NA,1
K2BR,3724,4F,822,2,AC2NJ,SNJ,30,Southern Counties ARA,4
K2CDX,254,1D,51,2,NA,WNY,1,NA,1
K2CK,2588,2E,1119,2,NA,ENY,20,NA,2
K2CT,7016,3A,2054,2,KC1NN,ENY,50,Albany ARA,3
K2CYE,1052,1D,251,2,NA,ENY,1,NA,1
K2DEP,320,1B1B,17,5,NA,MDC,1,NA,1
K2DLL,3808,3A,956,2,N2MBX,ENY,25,Saratoga Cty ARA,3
K2DLS,382,1D,116,2,NA,NNJ,1,NA,1
K2DS,3256,2F,953,2,KMØSI,WCF,17,MOSI ARC,2
K2DXU,2460,2A,726,2,NA,ENY,4,The Happy Hams,2
K2EC,3468,2A,1368,2,NA,NLI,16,Bonac ARC,2
K2FEO,170,1D,85,2,NA,WNY,1,NA,1
K2GE,1226,2F,132,2,NA,NNJ,16,Raritan Bay Radio Amateurs,2
K2GG,5960,3AC,1868,2,NA,NNJ,20,Splitrock ARA,3
K2HT,650,1B1,125,2,NA,MO,1,NA,1
K2HVE,230,1E,40,2,NA,NNJ,1,NA,1
K2IQ,998,2A,119,2,NA,WNY,10,Utica ARC,2
K2IWR,3652,4A,1275,2,NA,WNY,26,Skyline ARC,4
K2JJI,3428,5A,586,2,K2ALS,NNY,20,Tryon ARC,5
K2MK,1181,1D,605,1,NA,SNJ,1,NA,1
K2NJ,11330,3F,3169,2,W2EN,NNJ,26,West Jersey DX Group,3
K2NNY,86,1D,9,2,NA,NNY,1,NA,1
K2NV,366,1D,158,1,NA,WNY,1,NA,1
K2NV/VE3,734,1C,171,2,NA,ONS,1,NA,1
K2OAK,826,2A,216,2,NA,NNJ,7,Red Oak Soc,2
K2OGT,1238,1E,247,2,NA,EPA,1,NA,1
K2PRO,566,3A,33,2,NA,WNY,6,Pioneer Radio Operators,3
K2QM,990,1E,235,2,NA,SNJ,1,NA,1
K2QPN,180,1B1B,3,5,NA,NFL,1,NA,1
K2QR,830,1AB,38,5,NA,WNY,4,NA,1
K2QS,7096,3A,1578,2,WK2T,ENY,19,QST Society,3
K2SH,1270,1B1B,102,5,NA,WNY,1,NA,1
K2TD,2598,3F,452,2,NA,SNJ,42,Burlington Cty RC,3
K2UGH,630,1D,258,2,NA,SFL,2,NA,1
K2UP,58,1D,2,2,NA,ENY,1,NA,1
K2USA,3968,4E,854,2,NA,NNJ,20,NA,4
K2VK,210,1D,30,2,NA,NNJ,4,NA,1
K2VN,8952,4A,2470,2,NA,NLI,36,NA,4
K2WO,1110,1E,96,5,NA,NFL,1,NA,1
K2YG,2190,1A,507,2,NA,NNJ,5,Why Gee AR Group,1
K2YGM,2810,1E,266,5,NA,NLI,1,NA,1
K2YNT,1006,2A,262,2,NA,NNJ,9,Metuchen RC,2
K2YY,1665,1B1B,154,5,NA,EMA,1,NA,1
K2ZV,1304,2F,207,2,NA,NNJ,25,NA,2
K3AE,3608,4A,961,2,NA,EPA,40,Southern PA Com Group,4
K3ARS,2890,7A,416,2,NA,MDC,10,Kent ARS,7
K3ATO,1214,1D,607,1,NA,EPA,1,NA,1
K3CAL,2502,4A,558,2,NA,MDC,18,Calvert ARA,4
K3CCR,2052,2E,513,2,NA,MDC,4,NA,2
K3CF,2090,3A,405,2,KB3ZIJ,MDC,41,CBRA-SLRC,3
K3CJW,125,1D,75,1,NA,MDC,1,NA,1
K3CSF,726,1E,120,2,NA,WPA,12,NA,1
K3CSG,1946,3A,298,2,NA,EPA,50,Scranton-Pocono AR Klub,3
K3DN,4478,5A,1404,2,NA,EPA,35,Warminster ARC,5
K3EE,4642,4A,1256,2,NA,MDC,21,Garrett Cty ARES,4
K3EMD,3086,3A,719,2,KC3DAL,MDC,41,Easton ARS,3
K3ERA,550,3AC,146,2,NA,MDC,4,Prince Georges Cty ARES,3
K3FI,2292,3A,470,2,NA,EPA,12,Holmesburg ARC,3
K3HH,1230,1A,228,2,NA,MDC,5,Hanburger's Helpers ARC,1
K3IEC,1874,4AC,531,2,NA,EPA,26,Cumberland ARC,4
K3IR,5816,4A,1237,2,KN3A,EPA,12,Southern PA ARC,4
K3MJW,5174,4E,1537,2,NA,WPA,20,NA,4
K3NHK,1500,3A,433,2,NA,MDC,15,St. Marys Cty ARA,3
K3NQT,2602,4F,610,2,NA,WPA,20,Bedford Cty ARS,4
K3ORS,768,1E,209,2,NA,TN,1,NA,1
K3PZN,3550,4A,790,2,NA,MDC,15,Carroll Cty ARC,4
K3QBD,1768,1A,387,2,NA,DE,15,First State ARC,1
K3QY,260,1F,105,2,NA,WPA,1,Ft Armstrong Wireless Assoc,1
K3RLL,850,1B1B,80,5,NA,WPA,1,NA,1
K3SFP,146,1E,23,2,NA,VA,1,NA,1
K3SMD,1296,3A,155,2,NA,MDC,19,Charles Cty ARC,3
K3SMT,1524,5A,442,2,NA,WPA,36,Somerset Cty  ARC,5
K3STL,122,1D,21,2,NA,WPA,1,NA,1
K3SV,342,1D,95,2,NA,WCF,1,NA,1
K3TAR,250,1A,100,2,NA,EPA,4,Tuscarora ARA,1
K3TI,124,3AC,62,2,NA,EPA,14,Berks ARC,3
K3TW,900,1B1B,45,5,NA,NFL,1,NA,1
K3URT,512,1D,149,2,NA,EPA,1,NA,1
K3WGR,470,1D,88,2,NA,EPA,1,NA,1
K3YTL,6188,3A,1671,2,W3MTP,EPA,27,NA,3
K3ZZ,11050,2B2B,1369,5,NA,MDC,2,NA,2
K4ACW,2138,2A,366,2,KJ4PQX,GA,32,Jasper Radio Club/Cherokee ARS,2
K4AEN,1190,1B2,261,2,NA,VA,2,NA,1
K4AMQ,276,1D,67,2,NA,TN,1,NA,1
K4B,2860,5A,738,2,WR4MG,GA,60,MGRA / CGARC,5
K4BCH,1710,2A,378,2,NA,NC,12,Pamlico ARC,2
K4BFT,16370,4A,4928,2,N7KDT,AL,75,Huntsville ARC,4
K4BKV,3128,3A,488,2,NA,NFL,11,Hernando Cty ARA,3
K4BRW,1132,1A,241,2,NA,VA,9,Blue Ridge Wireless ARC,1
K4BSK,2202,1E,490,2,NA,VA,2,NA,1
K4BT,4168,4A,1020,2,NA,NFL,46,Orange Park ARC,4
K4BV,1630,4A,245,2,NA,NFL,35,DBARA/VARES,4
K4BW,1706,2A,408,2,NA,VA,16,Eastern Shore ARC,2
K4CHE,740,1B1B,49,5,NA,DE,1,NA,1
K4CO,3566,6A,731,2,KY4DH,KY,30,Northern KY ARC,6
K4CPO,2452,3A,387,2,WA4VGZ,TN,72,Nashville  ARCInc,3
K4CQ,5732,2A,1394,2,W3CQ,VA,47,Lynchburg ARC,2
K4CXS,640,2A,45,2,NA,GA,8,Spalding Co ARC,2
K4DAE,1390,1A,620,2,NA,NFL,3,NA,1
K4DJ,1138,1D,272,2,NA,NC,1,NA,1
K4EET,272,1D,111,2,NA,MDC,1,NA,1
K4EG,5522,2F,1471,2,W4VGZ,NC,25,Alamance ARC,2
K4EX,1554,3A,273,2,NA,WCF,30,The East Pasco ARS,3
K4F,1128,4A,260,2,NA,NC,15,Isothermal ARC,4
K4FC,16934,7A,5071,2,KT4Q,NFL,31,Lake ARA,7
K4GAR,2165,3AB,157,5,NA,GA,125,Gateway ARC,3
K4GNV,1492,2A,333,2,NA,NFL,48,NA,2
K4GOP,92,1D,21,2,NA,NFL,1,NA,1
K4GRE,48,1D,24,2,NA,SC,1,NA,1
K4GSO,1880,6A,355,2,KK4JIV,NFL,11,Silver Springs RC,6
K4GU,1056,1D,262,2,NA,AL,2,NA,1
K4GVA,1828,4A,276,2,KK4VR,VA,11,King George AR Operators,4
K4HH,3244,3A,677,2,NA,KY,15,JAWS,3
K4HJ,1956,4A,362,2,NA,KY,10,NA,4
K4HRS,2406,1A,454,2,NA,SFL,9,Harris-Intersil ARC,1
K4HY,2530,3A,637,2,NA,KY,21,Owensboro ARC,3
K4II,3146,2AC,876,2,K4JLA,SC,25,Spartanburg ARC,2
K4IJK,90,1D,20,2,NA,RI,1,NA,1
K4IU,626,1D,144,2,NA,MN,1,NA,1
K4JJ,12300,3A,3585,2,NF4GA,GA,256,North Fulton ARL,3
K4KJQ,976,3A,207,2,KE6IVK,KY,53,Bluegrass ARS,3
K4LKL,4608,4A,1098,2,K1DU,WCF,64,Lakeland ARC,4
K4LM,9374,4A,2753,2,NA,SFL,20,Lighthouse AR Alliance,4
K4LRG,19028,5A,6002,2,N3FQ,VA,63,Loudoun AR Group,5
K4MN,5112,2A,1137,2,K4KMI/GOTA,NC,20,Cape Fear ARS,2
K4MSU,4014,3A,832,2,W4GX,KY,27,Murray State Univ ARC,3
K4MVA,3116,1A,829,2,NA,VA,15,Patrick Henry ARA,1
K4NAB,4754,4A,1230,2,KK4AMJ,SC,34,North Augusta-Belvedere RC,4
K4NGA,348,1AC,113,2,NA,GA,8,NA,1
K4NRC,8630,4A,2397,2,NA,GA,60,Bill Gremillion Mem RC,4
K4NVA,5712,3A,1447,2,NQ4K,VA,20,Sterling Park ARC,3
K4OGB,900,2A,55,2,NA,NC,22,Stanly Cty ARC,2
K4OO,4904,2A,1254,2,NA,NC,8,NA,2
K4PAR,916,2A,82,2,NA,GA,12,Piedmont ARES,2
K4PJ,3356,2F,736,2,NA,TN,39,Oak Ridge ARC,2
K4PMH,5096,1A,1434,2,NA,VA,18,Page Valley ARC,1
K4PP,512,1B1,109,2,NA,AL,1,NA,1
K4RAN,2926,3A,863,2,NA,AL,10,Randolph Cty Em RC,3
K4RC,6904,2A,1989,2,N4DJ,VA,58,Williamsburg Area ARC,2
K4RDU,924,1D,206,2,NA,VA,1,NA,1
K4RET,980,1AB,131,5,NA,VA,3,Tick Bite Trio,1
K4RFT,4814,3A,907,2,N4MJ,TN,15,Reelfoot ARC,3
K4RLK,758,2A,104,2,NA,NFL,15,Citrus Cty CERT,2
K4T,2118,4A,298,2,KI4RQK,TN,60,Middle Tennessee - MTARS-BARS-SMRC,4
K4TAK,316,2D,51,2,NA,TN,1,NA,2
K4TG,3540,3F,725,2,KY4LAW,KY,14,Anderson RC,3
K4TLH,4786,2A,1268,2,N4IPH,NFL,43,Tallahassee ARS,2
K4TN,5054,2A,1247,2,KC4MMR,WCF,36,Brandon ARS,2
K4TS,7442,5A,1860,2,W4IM,VA,25,Rappahannock Valley ARC,5
K4UB,145,1B1B,19,5,NA,GA,1,NA,1
K4UCF,1104,2A,156,2,KG4YDW,NFL,12,ARC at UCF,2
K4VRC,3315,2A,1765,1,N4FP,NFL,45,The Villages ARC,2
K4W,2366,4F,408,2,NA,WCF,13,Highlands Cty ARC,4
K4WAK,794,1A,68,2,NA,NFL,4,Sportsman's Paradise  ARC,1
K4WC,4542,2A,1249,2,NA,NC,36,Cabarrus ARS,2
K4WO,2786,4A,685,2,NA,NC,33,NA,4
K4WOC,1782,4A,339,2,AA4KX,GA,16,Cherokee Capital ARS,4
K4WRC,2154,2A,752,2,AJ1Q,SFL,60,Wellington RC,2
K4WW,2450,1E,900,2,NA,KY,1,NA,1
K4XX,2546,2A,727,2,NA,AL,4,Tesla ARC,2
K4XY,10954,4A,3191,2,K4HTA,VA,106,Vienna Wireless Soc,4
K4YTZ,3972,2A,864,2,W4KMT,SC,25,York Cty ARS,2
K4YYL,480,1D,120,2,NA,SC,1,NA,1
K4YZ,122,1E,11,2,NA,TN,1,NA,1
K4ZGB,2532,1A,601,2,NA,AL,3,AL Contest Group,1
K4ZK,2980,2A,819,2,WX4MC,SFL,30,Martin Cty Ares/Races,2
K5AB,5350,1B1B,520,5,NA,NTX,1,NA,1
K5AXW,1755,1AB,150,5,NA,STX,6,Los Chupacabraderos,1
K5BAX,704,2A,96,2,NA,AR,15,Ozark ARC,2
K5BAY,1122,3F,254,2,NA,STX,13,Baytown Area ARC,3
K5BED,1854,3A,353,2,NA,NTX,25,Bedford ARC,3
K5BS,982,1A,42,2,NA,STX,15,NA,1
K5BWD,1572,3A,132,2,KE5UDM,NTX,16,Brownwood ARC,3
K5CM,9232,2A,2492,2,NN5Q,OK,11,MARC,2
K5COW,2674,3A,522,2,NA,NTX,51,Cowtown ARC,3
K5EOK,6716,3A,1676,2,AE5RP,OK,69,Edmond ARS,3
K5EPH,300,1F,100,2,NA,NTX,10,Athens ARC,1
K5ER,3654,2E,1193,2,NA,LA,2,NA,2
K5FD,9560,2A,2979,2,AD5BB,WTX,22,Big Bend ARC,2
K5FRC,1760,5A,245,2,NA,NTX,13,Fannin Cty ARC,5
K5GCC,342,4AC,53,2,NA,NTX,27,Grayson Cty ARC,4
K5GDX,9342,3E,2753,2,NA,MS,16,Great Southern DX Assoc,3
K5GOE,1250,1A,300,2,NA,AR,14,NA,1
K5HOU,654,3E,40,2,NA,STX,3,NA,3
K5ID,1158,1A,199,2,NA,AR,7,Hot Springs Village ARC,1
K5JTB,298,2B2,14,2,NA,AR,2,NA,2
K5JVL,456,4D,117,2,NA,NTX,7,NA,4
K5KMS,266,1B1C,108,2,NA,NTX,1,NA,1
K5LLR,1045,3AB,59,5,NA,STX,4,Lonsome Lark Radio,3
K5LRK,1396,3A,272,2,NA,NTX,22,Lake Area AR Klub,3
K5MDX,1292,3AC,322,2,NA,MS,16,Magnolia DX Assoc,3
K5MW,2574,3A,522,2,NA,NTX,51,NA,3
K5MXG,3560,1B2,1009,2,NA,STX,2,NA,1
K5NE,2152,1A,591,2,NA,AR,19,Benton ARS,1
K5NEA,1812,5AC,272,2,NA,AR,18,NE AR RC,5
K5NRH,3298,4A,773,2,W5HP,NTX,48,North Richland Hills ARC,4
K5OMC,106,1D,15,2,NA,MS,1,NA,1
K5OUR,3134,2A,743,2,NA,NM,73,Valencia Cty ARA,2
K5PAL,904,2A,152,2,NA,NTX,15,Palestine/Anderson Cty ARC,2
K5PCA,80,1D,15,2,NA,NM,1,NA,1
K5PLD,614,2A,73,2,NA,STX,11,Pearland ARC,2
K5PRK,3162,4A,613,2,K5F,NTX,30,Plano ARK,4
K5PX,5552,1A,1313,2,NA,OK,5,Boomer Contest Club,1
K5PXP,7726,3A,2021,2,KG5ABC,AR,28,ARVARF,3
K5QHD,3230,2A,611,2,KG5OO,NTX,69,Garland ARC,2
K5QY,5238,1A,1591,2,NA,NTX,7,Murphy's Law Radio Group,1
K5RKW,1298,3AC,342,2,NA,NTX,26,NA,3
K5RWK,1754,1A,494,2,NA,NTX,33,Richardson Wireless Klub,1
K5RWP,938,1E,172,2,NA,NTX,1,NA,1
K5S,1572,2A,308,2,NA,NTX,48,Sachse ARA,2
K5SAR,3576,3D,1315,2,NA,LA,40,NA,3
K5SLD,1914,3A,260,2,N5ACK,NTX,81,Arlington  ARC,3
K5SST,1286,3A,178,2,NA,NTX,22,Hopkins Cty ARC / Rains ARA,3
K5STO,892,2F,131,2,NA,MS,15,Stone Cty ARES Group,2
K5T,7642,3F,2617,2,WA5JRS,NTX,65,Mansfield Johnson AR Service,3
K5TRO,4210,2A,1174,2,N5QBU,NTX,20,Mills Cty ARC,2
K5TYR,3910,3A,1004,2,NA,NTX,62,NA,3
K5UTA,374,1A,62,2,NA,WTX,3,Maverick Radio Mentors,1
K5UZ,13444,2A,4076,2,K5NES,AR,22,Batesville ARC,2
K5VFD,640,1F,320,2,NA,STX,2,Spring ARC,1
K5VHH,88,1C,19,2,NA,STX,1,NA,1
K5WA,9102,1A,2440,2,NA,STX,8,Tilson CC,1
K5WI,1160,1B1B,81,5,NA,NTX,1,NA,1
K5WNH,4850,1B1B,460,5,NA,NTX,1,NA,1
K5WPH,2942,4E,816,2,NA,WTX,40,NA,4
K5XRO,744,1A,197,2,NA,MS,6,Vicksburg AR Clug,1
K5YAA/M,2380,1C,1236,1,NA,OK,1,NA,1
K5ZCL,82,1E,16,2,NA,STX,1,NA,1
K5ZRO,744,1A,197,2,NA,MS,6,Vicksburg ARC,1
K6AA,6518,2A,1482,2,K6ZNL,LAX,30,NA,2
K6AGF,1932,2A,586,2,NA,ORG,12,TRI-County ARA,2
K6AR,1010,1E,91,5,NA,SDG,1,NA,1
K6BB,6592,7A,1664,2,NA,ORG,20,Big Bear ARC,7
K6BSD,94,1D,22,2,NA,ORG,1,NA,1
K6CCR,1534,3F,293,2,W1MJH,LAX,24,Culver City AR Em Serv,3
K6CME,1540,2F,300,2,NA,SJV,10,SATERN,2
K6CSL,400,1D,102,2,NA,SJV,1,NA,1
K6DKO,168,1D,59,2,NA,SB,1,NA,1
